"Name","ProductAction","ProductId","ImageAction","Stage","Error"
"M2000 – Features and Benefits","inserted","e35d5bee-1a4d-45b5-a7bb-6cb93df2f0fe","uploaded + linked","done",""
"M3000 – Features and Benefits","inserted","8ddb49af-c865-4532-b8c0-b786b1f1eb8e","uploaded + linked","done",""
"AH 231","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"GX160","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"GX240","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"GX340","already imported","5bdcb0b6-9b8e-40b1-97d8-79e6838c475b","uploaded + linked","done",""
"Honda Engine","already imported","a5ecc390-16f0-4f46-8894-7c0a2b23f09c","uploaded + linked","done",""
"Honda Engine","inserted","64d9c677-8375-4fdb-a3a7-da8ba6b372c6","uploaded + linked","done",""
"Honda Engine","inserted","c543d1d9-2c8b-4f26-9e2c-98bd65bd2494","uploaded + linked","done",""
"T350","already imported","48e0ceb6-c4fe-4a61-9252-5ea00f357c1c","uploaded + linked","done",""
"The Shindaiwa 357","already imported","ea4f0253-b4d3-4293-b088-051c7abfe479","uploaded + linked","done",""
"The Shindaiwa 360","already imported","f4bb1b35-fea4-4b6d-aa5a-80da4ab6650a","uploaded + linked","done",""
"The Shindaiwa 377","already imported","8b4f3d68-badb-4405-af72-36f4f5af6e87","uploaded + linked","done",""
"The Shindaiwa T231","already imported","77266259-ba3c-43aa-8aa3-d572d04f2df6","uploaded + linked","done",""
"The Shindaiwa T261","already imported","2deab8a9-11bd-4c03-9985-90a02db5ee2f","uploaded + linked","done",""
"The Shindaiwa T272X","already imported","e4e26aab-67e1-452e-b565-f247f2277c54","uploaded + linked","done",""
"Scoot-Crete MB16/21","already imported","845d2855-1377-46d4-8086-c3f790763209","uploaded + linked","done",""
"Performance Classes 40 & 60","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"STIHL Engine","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"STIHL shown Engine","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"TS 420 STIHL Cutquik® Professional Cut-Off Machine","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"BH 23 – Features and Benefits","already imported","73196e50-ec75-424e-8548-f329da4c4445","uploaded + linked","done",""
"BTS 1030 – Features and Benefits","already imported","695e2a95-b691-4fe1-8b3a-f368ddd36850","uploaded + linked","done",""
"Wacker Engine","already imported","436877c7-f41e-4807-84ad-a872b616d0aa","uploaded + linked","done",""
"Wacker Engine","inserted","c80cab48-7317-439d-93a4-a31d94d4d109","uploaded + linked","done",""
"EG2500","already imported","3c54cddc-b13f-43cd-8920-9ac57c7e1a29","uploaded + linked","done",""
"Yamaha EF1000","already imported","dc5cf45c-a695-454d-992d-fabd84bfc1f6","uploaded + linked","done",""
"Yamaha EF12000DE","already imported","b6b4e2e1-73e7-4090-93fc-f5183731640f","uploaded + linked","done",""
"Yamaha EF4600DE","already imported","a4c49c32-6eaf-45a3-bfa3-80384394322a","uploaded + linked","done",""
"Yamaha EF6600DE","already imported","e7b53ab5-a1e8-4aae-84c5-4a7a6299a752","uploaded + linked","done",""
"BLW-400SS","already imported","3108640e-07c0-4b51-9dc9-25de064f4a31","uploaded + linked","done",""
"GLW-180H","already imported","4e80298d-d0fd-42de-a961-a7b5fd4ce268","uploaded + linked","done",""
"SDW-225SS","already imported","4e096819-4e85-4c09-9f0b-2dd0165644c7","uploaded + linked","done",""
"TLW-300SS","already imported","d9760f7f-eeba-4bfa-8fc8-5aa31808cadd","uploaded + linked","done",""
"G 2.5A","already imported","69a6fdd1-9971-47e5-b963-b9c1a3997c9d","uploaded + linked","done",""
"G 25","already imported","2176c934-2789-4351-869f-e4f6e094449b","uploaded + linked","done",""
"Wacker Generator","already imported","d10ff3aa-a848-4897-a4e4-cd00fa5195c7","uploaded + linked","done",""
"Wacker Generator","inserted","ddb21e4c-a762-4b9c-8fee-70e37fd05e45","uploaded + linked","done",""
"Ideal for","inserted","141d43b3-712b-40e5-be15-600b45d33152","uploaded + linked","done",""
"Ideal for","inserted","a9b5d61e-654a-405a-bd9d-8bbd865a2cc0","uploaded + linked","done",""
"M-60, M-80, M-90, M120/121 | Models Available","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"Mayco Plaster/Mortar/Fireproofing (MG-30)","already imported","b8ee00cf-cf1c-4b77-83b8-8206d0ab0e65","uploaded + linked","done",""
"Plaster/Mortar Mixer (EM-120SM-E51)","already imported","12b9dff2-a928-4445-a60f-de884db76c94","uploaded + linked","done",""
"Cyclone 488 XR","already imported","c7ddc583-af7c-41dd-ad49-7f4a0713822a","uploaded + linked","done",""
"Spray Force Engine","already imported","674fc5af-6456-4baa-8684-56deff61edae","uploaded + linked","done",""
"Mortar Mixer - 1285pm Gas","inserted","049a0654-8fca-4f83-92e1-5440d1a0fdd2","uploaded + linked","done",""
"1/2"" High-Speed Drill","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
