"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","SourceRawFile","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder"
"YES","90","or visit store to purchase!","","","Safety Equipment","Model # 922 | Lightweight, sub-pelvic, polyester full-body harness. Ideal when a worker is assigned his own harness. Once adjusted the quick connect buckles on the chest and leg straps make donning and doffing fast and simple with additional adjustment necessary only when compensating for seasonal clothing changes. | New York State Approval # 9593 | Meets OSHA, ANSI standards | !","images/gemtor/922.gif","https://billsequipment.mydomain.com/images/gemtor/922.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","380"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 11.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%2011.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","390"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 4.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%204.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","400"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 5.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%205.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","410"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 6.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%206.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","420"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 2.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%202.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","430"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 1.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%201.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","440"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 3.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%203.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","450"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 8.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%208.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","460"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 9.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%209.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","470"
"YES","90","or visit store to purchase!","","","Safety Equipment","!","images/ERB/ERB glasses 10.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20glasses%2010.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","480"
"YES","90","or visit store to purchase!","","","Safety Equipment","Model # RL-8 | Self-Retracting Lanyard | 1 3/4"" wide x 8' long, high visibility yellow polyester webbing with a swivel locking snaphook permanently attached. Unit locks within a few inches when a fall is sensed. Housing is made of heavy-duty steel with a chemical, environmental, and impact resistant PVC cover. | !","images/gemtor/RL8.gif","https://billsequipment.mydomain.com/images/gemtor/RL8.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","490"
