"Name","Brand","Model","Category","ProductAction","ProductId","ImageAction","ImageUrl","Error"
"MC1050","Miller","MC1050","Concrete Mixers","failed","","none","https://billsequipment.mydomain.com/images/miller/1050.gif","The remote server returned an error: (400) Bad Request."
"Concrete Mixer (MC-92S-H8","Multiquip","MC-92S-H8","Concrete Mixers","inserted","aa38ccfa-06df-42d8-bee4-10d0eb7ceabc","no legacy image","",""
"Aurora Piston Pump Machines Drywall","Spray Force","","Concrete Mixers","inserted","11d89910-c727-4fad-a576-a1c211140bcf","none","https://billsequipment.mydomain.com/images/sprayforce/aurora.gif","The remote server returned an error: (400) Bad Request."
"Hurricane 225 XR-1 and XR-2","Spray Force","","Concrete Mixers","inserted","b7b08d9b-e5ec-4b24-a45a-7d2df95135bf","none","https://billsequipment.mydomain.com/images/sprayforce/hurricane-225.gif","The remote server returned an error: (400) Bad Request."
"Concrete Mixer - 125cm Diesel","Stone","B78","Concrete Mixers","inserted","70c6c175-8400-43a6-af04-587ae193adba","none","https://billsequipment.mydomain.com/images/stonemixers/125cm.jpg","The remote server returned an error: (400) Bad Request."
"Concrete Mixer - 95cm Diesel","Stone","B78","Concrete Mixers","skipped - matches existing product","70c6c175-8400-43a6-af04-587ae193adba","not attempted","https://billsequipment.mydomain.com/images/stonemixers/95cm.jpg",""
"Mortar Mixer - 855pm Gas","Stone","B78","Concrete Mixers","skipped - matches existing product","70c6c175-8400-43a6-af04-587ae193adba","not attempted","https://billsequipment.mydomain.com/images/stonemixers/855pm.jpg",""
"Concrete Pump (C-30HDN)","Multiquip","C-30HDN","Concrete Pumps","inserted","d95c9075-5940-4fba-a4c1-bfb428475f37","none","https://billsequipment.mydomain.com/images/multiquip/c30hdn.jpg","The remote server returned an error: (400) Bad Request."
"Mid-Range Concrete Pump (LS-40)","Multiquip","LS-40","Concrete Pumps","failed","","none","https://billsequipment.mydomain.com/images/multiquip/ls-40.gif","The remote server returned an error: (400) Bad Request."
"The Shindaiwa EC7500","Honda","EC7600","Concrete Saws & Cutting","inserted","fb1aebb5-8673-478a-af4a-475dd7ac5926","none","https://billsequipment.mydomain.com/images/honda/EC7500.gif","The remote server returned an error: (400) Bad Request."
"MVC-90","Multiquip","MVC-90","Concrete Vibrators","inserted","26337a87-aa7d-44f0-92b5-0ad672c91259","none","https://billsequipment.mydomain.com/images/multiquip/MVC-90H.gif","The remote server returned an error: (400) Bad Request."
"Oztec Concrete Vibrator","Oztec","","Concrete Vibrators","inserted","c39fff57-e8a9-478a-8cfe-22d4abeea045","none","https://billsequipment.mydomain.com/images/oztec/e_power_chart.gif","The remote server returned an error: (400) Bad Request."
"Rubber Tips","Oztec","","Concrete Vibrators","failed","","none","https://billsequipment.mydomain.com/images/oztec/steelhead.gif","The remote server returned an error: (400) Bad Request."
"A3000 – Features and Benefits","Wacker","HMS","Concrete Vibrators","inserted","a71ee44d-ddc1-41b5-b7d4-470550539d40","none","https://billsequipment.mydomain.com/images/wacker/a3000.jpg","The remote server returned an error: (400) Bad Request."
"M1000 – Features and Benefits","Wacker","HMS","Concrete Vibrators","skipped - matches existing product","a71ee44d-ddc1-41b5-b7d4-470550539d40","not attempted","https://billsequipment.mydomain.com/images/wacker/m1000.jpg",""
"M2000 – Features and Benefits","Wacker","HMS","Concrete Vibrators","skipped - matches existing product","a71ee44d-ddc1-41b5-b7d4-470550539d40","not attempted","https://billsequipment.mydomain.com/images/wacker/m2000.jpg",""
